                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9101,                 4.1094,                 4.1752,                0.00293,                   0.88,                0.00361,                0.00126,                 2.3206,                 4.3113,                 4.1506,                 0.0003,                 0.0003,                 0.0003
                      2,                 2.8268,                 3.6583,                 3.9742,                0.00293,                   0.88,                0.00648,                0.00222,                 2.3074,                 4.3011,                 4.1278,             0.00059954,             0.00059954,             0.00059954
                      3,                 2.7396,                  3.317,                 3.6975,                0.00287,                   0.86,                0.00547,                0.00212,                 2.2676,                 4.2015,                 4.1272,             0.00087796,             0.00087796,             0.00087796
                      4,                 2.7401,                 3.0894,                 3.5559,                 0.0028,                   0.84,                0.00505,                0.00204,                 2.2455,                  4.024,                 4.1588,              0.0011353,              0.0011353,              0.0011353
                      5,                 2.5892,                 2.8059,                 3.3449,                0.00287,                   0.86,                0.00631,                0.00237,                 2.2976,                 4.0092,                 4.2308,              0.0013714,              0.0013714,              0.0013714
                      6,                  2.425,                 2.5755,                 3.1328,                0.00714,                   0.82,                0.00652,                0.00204,                 2.3612,                 4.1275,                 4.3899,              0.0015865,              0.0015865,              0.0015865
                      7,                 2.3368,                 2.4842,                 3.0214,                0.00293,                   0.88,                0.00742,                0.00246,                 2.2455,                 4.0828,                 4.1129,               0.001604,               0.001604,               0.001604
                      8,                 2.2106,                 2.3411,                 2.9109,                0.35817,                   0.42,                0.21862,                0.06637,                 1.8287,                 3.8185,                 2.8178,               0.001604,               0.001604,               0.001604
                      9,                 2.1273,                  2.256,                  2.887,                0.00107,                   0.32,                0.00163,                0.00025,                 2.3972,                 4.6858,                 4.1573,               0.001538,               0.001538,               0.001538
                     10,                 2.0062,                 2.0114,                 2.7424,                0.38827,                   0.22,                0.17769,                0.08629,                 1.8108,                 3.4729,                 3.1386,               0.001472,               0.001472,               0.001472
                     11,                 1.9523,                 1.9663,                 2.6653,                0.89726,                0.87341,                0.92975,                0.66152,                 1.2208,                 4.7323,                 2.2667,               0.001406,               0.001406,               0.001406
                     12,                 1.9259,                 1.8676,                 2.5545,                0.62453,                   0.76,                0.66157,                 0.3734,                 1.2578,                 2.3277,                 2.3614,                0.00134,                0.00134,                0.00134
                     13,                 1.8537,                 1.7417,                 2.4997,                 0.8302,                0.88008,                0.91094,                0.66388,                  1.197,                 2.5445,                 2.1297,               0.001274,               0.001274,               0.001274
                     14,                  1.823,                 1.7336,                 2.5014,                0.81147,                   0.84,                0.90573,                0.67779,                 1.1564,                 1.7453,                 2.1586,               0.001208,               0.001208,               0.001208
                     15,                 1.6517,                  1.621,                 2.3331,                0.84441,                   0.88,                  0.885,                0.65771,                 1.0505,                 1.5928,                 2.0149,               0.001142,               0.001142,               0.001142
                     16,                 1.6141,                  1.585,                 2.2825,                0.77129,                   0.92,                0.86671,                0.65333,                   1.06,                 1.4076,                 2.0137,               0.001076,               0.001076,               0.001076
                     17,                 1.5645,                 1.4612,                 2.2121,                 0.8718,                 0.9521,                0.93892,                0.69317,                 1.0707,                 1.4399,                  2.003,                0.00101,                0.00101,                0.00101
                     18,                 1.5827,                  1.464,                 2.2311,                0.83981,                0.94371,                0.90091,                0.68774,                 1.0192,                 1.2214,                 1.9534,               0.000944,               0.000944,               0.000944
                     19,                  1.478,                 1.3765,                 2.1811,                0.85876,                0.97293,                0.95709,                0.71368,                0.97868,                  1.119,                 1.8816,               0.000878,               0.000878,               0.000878
                     20,                 1.5443,                  1.383,                 2.2086,                 0.8698,                0.93531,                0.93586,                0.67007,                 1.1042,                 1.1997,                 2.0612,               0.000812,               0.000812,               0.000812
                     21,                 1.1589,                  1.177,                 1.9594,                0.92241,                   0.94,                0.98134,                0.78239,                0.92298,                 1.0523,                 1.8284,               0.000746,               0.000746,               0.000746
                     22,                 1.0746,                 1.1112,                 1.9181,                0.88148,                0.89257,                0.93784,                0.74431,                0.91676,                 1.0869,                 1.8325,                0.00068,                0.00068,                0.00068
                     23,                 1.0493,                 1.0386,                 1.8809,                0.87811,                   0.96,                0.96164,                0.73926,                0.93305,                  1.206,                 1.8476,               0.000614,               0.000614,               0.000614
                     24,                0.96803,                 1.0199,                 1.8006,                0.90267,                   0.98,                0.96141,                0.76439,                0.87673,                 0.8813,                 1.7717,               0.000548,               0.000548,               0.000548
                     25,                0.96452,                0.97144,                 1.8417,                0.88215,                 0.8983,                0.92793,                0.73418,                0.84804,                0.93005,                 1.7542,               0.000482,               0.000482,               0.000482
                     26,                0.95137,                0.91164,                 1.7902,                0.86773,                0.91848,                0.91361,                0.73102,                0.80974,                0.93041,                  1.739,               0.000416,               0.000416,               0.000416
                     27,                0.97402,                0.90906,                  1.773,                0.77563,                   0.84,                 0.8993,                0.70519,                0.85672,                0.87559,                 1.7269,                0.00035,                0.00035,                0.00035
                     28,                0.91482,                0.84602,                 1.7463,                0.92404,                0.97332,                0.96125,                0.76967,                0.77412,                0.78897,                 1.6364,               0.000284,               0.000284,               0.000284
                     29,                0.92084,                0.81121,                 1.6831,                0.93856,                   0.96,                0.97357,                0.76419,                0.83906,                0.76187,                  1.704,               0.000218,               0.000218,               0.000218
                     30,                0.90526,                 0.8107,                 1.7057,                0.93214,                   0.96,                0.97299,                0.78453,                 0.7597,                0.72819,                 1.6269,               0.000152,               0.000152,               0.000152
